COSMIC_ID	GENE_NAME	UNIPROT	FUNCTION	TYPE	IN_PKN	MUTATION_TARGET
909718	PDX1	P52945	gain	cna	NA	NA
909748	PDX1	P52945	gain	cna	NA	NA
910569	POLR1D	Q9Y2S0	gain	cna	NA	NA
1789883	POLR1D	Q9Y2S0	gain	cna	NA	NA
909718	POLR1D	Q9Y2S0	gain	cna	NA	NA
909748	POLR1D	Q9Y2S0	gain	cna	NA	NA
910569	RPL21	P46778	gain	cna	NA	NA
1789883	RPL21	P46778	gain	cna	NA	NA
909718	RPL21	P46778	gain	cna	NA	NA
909748	RPL21	P46778	gain	cna	NA	NA
910569	WASF3	Q9UPY6	gain	cna	NA	NA
1789883	WASF3	Q9UPY6	gain	cna	NA	NA
909718	WASF3	Q9UPY6	gain	cna	NA	NA
909748	WASF3	Q9UPY6	gain	cna	NA	NA
909748	KLF12	Q9Y4X4	gain	cna	NA	NA
909748	KLF5	Q13887	gain	cna	NA	NA
909718	ARHGEF7	Q14155	gain	cna	NA	RAC1
909748	ARHGEF7	Q14155	gain	cna	NA	RAC1
909718	COL4A1	P02462	gain	cna	NA	NA
909748	COL4A1	P02462	gain	cna	NA	NA
909718	CUL4A	Q13619	gain	cna	NA	NA
909748	CUL4A	Q13619	gain	cna	NA	NA
909718	DCUN1D2	Q6PH85	gain	cna	NA	NA
909748	DCUN1D2	Q6PH85	gain	cna	NA	NA
909718	EFNB2	P52799	gain	cna	NA	NA
909748	EFNB2	P52799	gain	cna	NA	NA
909718	F10	P00742	gain	cna	NA	NA
909748	F10	P00742	gain	cna	NA	NA
909718	F7	P08709	gain	cna	NA	NA
909748	F7	P08709	gain	cna	NA	NA
909718	GAS6	Q14393	gain	cna	NA	NA
909748	GAS6	Q14393	gain	cna	NA	NA
909718	GRK1	Q15835	gain	cna	NA	NA
909748	GRK1	Q15835	gain	cna	NA	NA
909718	ING1	Q9UK53	gain	cna	NA	NA
909748	ING1	Q9UK53	gain	cna	NA	NA
909718	IRS2	Q9Y4H2	gain	cna	NA	IGFR1,PI3K
909748	IRS2	Q9Y4H2	gain	cna	NA	IGFR1,PI3K
909718	LIG4	P49917	gain	cna	NA	NA
909748	LIG4	P49917	gain	cna	NA	NA
909718	PCID2	Q5JVF3	gain	cna	NA	NA
909748	PCID2	Q5JVF3	gain	cna	NA	NA
909718	RASA3	Q14644	gain	cna	NA	NA
909748	RASA3	Q14644	gain	cna	NA	NA
909718	SOX1	O00570	gain	cna	NA	NA
909748	SOX1	O00570	gain	cna	NA	NA
909718	TFDP1	Q14186	gain	cna	NA	NA
909748	TFDP1	Q14186	gain	cna	NA	NA
909718	TNFSF13B	Q9Y275	gain	cna	NA	M3K14
909748	TNFSF13B	Q9Y275	gain	cna	NA	M3K14
924108	CDKN2A	P42771	loss	cna	NA	NA
910569	CDKN2A	P42771	loss	cna	NA	NA
909740	CDKN2A	P42771	loss	cna	NA	NA
924108	CDKN2B	P42772	loss	cna	NA	NA
910569	CDKN2B	P42772	loss	cna	NA	NA
909740	CDKN2B	P42772	loss	cna	NA	NA
909748	CHMP4C	Q96CF2	gain	cna	NA	NA
909748	FABP4	P15090	gain	cna	NA	NA
909748	FABP5	Q01469	gain	cna	NA	NA
909748	HEY1	Q9Y5J3	gain	cna	NA	NA
909748	IL7	P13232	gain	cna	NA	NA
909748	PAG1	Q9NWQ8	gain	cna	NA	NA
909748	PKIA	P61925	gain	cna	NA	NA
909748	STMN2	Q93045	gain	cna	NA	NA
909748	TPD52	P55327	gain	cna	NA	NA
910569	MYC	P01106	gain	cna	NA	PDK1,SMAD2
905939	MYC	P01106	gain	cna	NA	PDK1,SMAD2
909718	MYC	P01106	gain	cna	NA	PDK1,SMAD2
905962	MYC	P01106	gain	cna	NA	PDK1,SMAD2
924108	ZNF395	Q9H8N7	loss	cna	NA	NA
909746	ZNF395	Q9H8N7	loss	cna	NA	NA
909755	ZNF395	Q9H8N7	loss	cna	NA	NA
909718	CAV1	Q03135	gain	cna	NA	TGFRb,EGFR,ERK,RAC1,TRAF6
909718	CAV2	P51636	gain	cna	NA	NA
909718	CFTR	P13569	gain	cna	NA	NA
909718	DOCK4	Q8N1I0	gain	cna	NA	NA
909718	FOXP2	O15409	gain	cna	NA	NA
909718	IFRD1	O00458	gain	cna	NA	NA
909718	ING3	Q9NXR8	gain	cna	NA	NA
909718	KCND2	Q9NZV8	gain	cna	NA	NA
