TR:HT115:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXi,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,nan,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,-0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,-0.584962500721,0.188072348153,0.0395283641866,-0.44648054693,0.0365258760251,-0.289506617195,-0.630974898478,nan,-1.41990325445,-0.811927651847,0.134301091712,0.368644593794,-0.481050600233,-0.0356239097307
