TR:DIFI:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXi,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,nan,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,nan,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,-4.98595575461,-0.139630421945,-0.519374159094,-0.527581734236,-0.635588573791,-0.60665757182,-0.452822161738,nan,-2.77561573099,-0.520332442118,-0.649668190109,0.204439751923,-0.613978574581,-0.807354922058
