TR:SNUC2B:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXi,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,nan,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,nan,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,-0.0713846332368,0.0597062461243,-0.101879614019,-2.97982211806,-0.160464672193,0.0,0.61319618145,nan,-2.01655117626,-0.544320516224,-0.0995356735509,-0.186413124231,-0.0641303374197,-0.415037499279
1,1,0,0,0,0,0,0,0,1,0,0,0,0,30,-0.113819899557,0.207804885113,-0.13750352375,-2.71678771223,-0.341036917835,0.241008099504,1.53270626359,nan,-1.7169908944,-0.129283016945,-0.206450877467,-0.13750352375,-0.523561956057,-0.299560281859
