TR:HT29:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXmuti,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,nan,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,nan,-0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,nan,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0.23266075679,0.669354688012,0.336049203132,0.512951255806,0.732519689135,0.296981737757,2.66862327088,nan,-0.691049759111,0.184424571137,0.381429106636,1.17231554887,0.39067295088,0.695145418472
1,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0.544320516224,1.96481057154,1.60842147355,0.948432857852,1.33518419159,0.915111102413,3.09654713756,nan,1.50376641787,1.11345804978,1.16146342269,2.17231554887,1.23515537326,1.34464817139
