TR:COLO320HSR:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXi,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,nan,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,nan,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,nan,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,-0.109624491174,0.0885366746017,0.071553261025,-0.420739858643,-0.062735755348,0.0324214776924,0.554588851678,nan,-0.321928094887,0.113210610448,0.499101764067,1.13606154958,-0.315775867906,0.255257055242
1,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0.101879614019,-0.0183785293149,0.204819791888,-0.686633918616,0.145850866463,0.0,0.614709844115,nan,-0.0588936890536,0.472752997135,0.415037499279,0.558294550259,-0.660911353954,0.331205908475
