TR:CCK81:CellLine,TR:EGF,TR:HGF,TR:IGF1,TR:TGFb,TR:TNFa,TR:EGFRi,TR:IKKi,TR:MEKi,TR:PI3Ki,TR:PLXi,TR:TAK1i,TR:TBK1i,TR:mTORi,DA:ALL,DV:AKT,DV:EGFR,DV:ERK,DV:GSK3,DV:IkBa,DV:JNK,DV:MEK,DV:PI3K,DV:RPS6,DV:RSKp90,DV:SMAD2,DV:cJun,DV:mTOR,DV:p38
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,nan,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,nan,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,-1.79047815732,0.192645077942,0.0,-0.963826387447,0.111031312389,0.222392421336,0.365284464082,nan,0.566583971406,-0.267695783204,-0.0406419844973,0.0,-0.439479640545,0.0946368741381
1,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0.877368453392,3.32450203855,1.9879271677,0.439830883981,2.21412480535,2.11547721742,4.66810373602,nan,3.17599951585,1.81398801439,2.00998408857,2.2464378953,1.02654178745,2.32681031627
